objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7836,S13002928,Morningside, ,324864,670497,-3.20386,55.92165,6426160.84147485,13661.5879481869
7837,S13002929,City Centre, ,325339,673660,-3.19714,55.950142,5279542.55993712,12006.9219063107
7838,S13002930,Leith Walk, ,326249,675418,-3.18305,55.966068,2626188.12800599,7753.14918315644
7839,S13002931,Leith, ,327412,676294,-3.16466,55.974121,4997832.77501446,11025.0119851712
7840,S13002932,Craigentinny/Duddingston, ,328414,673829,-3.14796,55.952129,8544853.3986939,12498.868227206
7841,S13002933,Southside/Newington, ,326695,671825,-3.17493,55.933861,7304361.46883744,13537.4767633217
7842,S13002934,Liberton/Gilmerton, ,328507,668838,-3.14514,55.90731,14780508.004152,19190.1412545347
7843,S13002935,Portobello/Craigmillar, ,330397,672210,-3.11579,55.93787,10710712.899648,18516.6674589111
7844,S13002936,Bo'ness and Blackness, ,300126,680019,-3.60308,56.00267,27180714.0902099,28858.8993948877
7845,S13002937,Grangemouth, ,293382,681770,-3.71186,56.016941,12102300.3780176,19251.0024641408
7846,S13002938,Denny and Banknock, ,278377,682198,-3.95261,56.017208,54073309.9203579,39066.1099935654
7847,S13002939,"Carse, Kinnaird and Tryst", ,289409,686010,-3.77731,56.054119,39911496.6317188,35890.1246644949
7848,S13002940,Bonnybridge and Larbert, ,283913,682131,-3.86383,56.017979,33377256.7751231,33462.9476249849
7849,S13002941,Falkirk North, ,289284,681273,-3.77736,56.011551,10663694.5350465,18014.7257712427
7850,S13002942,Falkirk South, ,286961,678032,-3.81324,55.981899,24934318.9739221,21542.4614539763
7851,S13002943,Lower Braes, ,293484,679052,-3.70915,55.99255,12110368.9751621,18995.1830982413
7852,S13002944,Upper Braes, ,288442,673508,-3.78764,55.94162,82360527.8798362,49160.6169741089
7853,S13002946,Dunfermline North, ,309567,689854,-3.45507,56.09288,18695794.0291819,21125.5847334675
7854,S13002947,Dunfermline Central, ,307607,686447,-3.48539,56.061901,20350833.6184369,26408.7707633147
7855,S13002948,Dunfermline South, ,312026,685865,-3.41425,56.05751,8404075.17088701,11713.8778210518
7856,S13002949,Rosyth, ,309725,683466,-3.45038,56.03553,17930797.051369,28142.9533538152
7857,S13002950,Inverkeithing and Dalgety Bay, ,316330,684962,-3.34488,56.050171,36656420.8712782,40966.9323181168
7858,S13002953,"Burntisland, Kinghorn and Western Kirkcaldy", ,322989,689860,-3.23941,56.09528,55550029.9399078,39417.5100907512
7859,S13002954,Kirkcaldy North, ,326019,693996,-3.19187,56.132912,4386157.70376754,9822.09908229851
7860,S13002955,Kirkcaldy Central, ,326948,692529,-3.17653,56.119881,4029742.82262404,9985.97982268378
7861,S13002956,Kirkcaldy East, ,329359,693974,-3.13814,56.133221,11031979.9321477,17410.0886842413
7862,S13002958,"Glenrothes North, Leslie and Markinch", ,327040,702963,-3.17791,56.213619,45786202.2171576,40276.6307669004
7863,S13002959,Glenrothes Central and Thornton, ,328972,698199,-3.1455,56.17112,31464663.7619069,30440.1416975624
7864,S13002960,Howe of Fife and Tay Coast, ,327760,712672,-3.16896,56.300941,270112352.477079,102313.980707484
7865,S13002961,Tay Bridgehead, ,342345,723506,-2.9357,56.400261,103779063.516028,50196.6888581193
7866,S13002962,St Andrews, ,347540,716341,-2.85011,56.336498,38358646.4651599,38412.1730793491
7867,S13002963,East Neuk and Landward, ,351459,707385,-2.78507,56.25647,222229703.185024,88125.4220689075
7868,S13002964,Cupar, ,338963,713275,-2.9881,56.30793,112395662.874103,59223.4226490003
7869,S13002965,"Leven, Kennoway and Largo", ,338551,703697,-2.99253,56.22184,48508339.5194149,42533.1450145172
7870,S13002966,"Buckhaven, Methil and Wemyss Villages", ,334117,698412,-3.06271,56.173771,20014792.3929493,26099.6788293167
7871,S13002967,Linn, ,259739,658796,-4.2392,55.80201,11097753.4873623,16951.3765556251
7872,S13002968,Newlands/Auldburn, ,255513,660996,-4.30773,55.820518,10046289.2963819,16065.6492983624
7873,S13002969,Greater Pollok, ,252701,660507,-4.35231,55.815281,11539383.7239076,16205.3154939992
7874,S13002970,Cardonald, ,253297,663704,-4.34453,55.844158,7697574.06364274,13253.2290881109
7875,S13002971,Govan, ,254633,665386,-4.32411,55.859669,8721549.35920027,15137.4752675146
7876,S13002972,Pollokshields, ,256878,662969,-4.287,55.838638,6064558.81007543,13218.1348443939
7877,S13002973,Langside, ,259176,661741,-4.2497,55.828289,4515612.41241897,11447.8970700925
7878,S13002974,Southside Central, ,258970,663342,-4.25382,55.842602,4315681.1804901,11813.9629154935
7879,S13002975,Calton, ,261606,663764,-4.21197,55.84716,6549788.40940854,11774.0838928916
7880,S13002976,Anderston/City/Yorkhill, ,258232,665511,-4.26673,55.861858,5246167.53016428,11217.6880774724
7881,S13002977,Hillhead, ,257690,667044,-4.27619,55.875462,3174016.42824178,6907.70526856392
7882,S13002978,Victoria Park, ,254424,667619,-4.32865,55.87965,4163990.64410628,11012.6354393805
7883,S13002979,Garscadden/Scotstounhill, ,252284,668707,-4.36342,55.88876,6197940.79495353,11646.9941509058
7884,S13002980,Drumchapel/Anniesland, ,252398,670490,-4.36257,55.904812,7436120.7611683,13675.7246523376
7885,S13002981,Maryhill, ,256441,669579,-4.29748,55.89785,4840827.72419417,11908.5970578552
