objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
4947,E05010663,Highfield, ,407860,309684,-1.88514996,52.68481064,6462322.44479549,13546.764011931
4948,E05010664,Leomansley, ,410511,309326,-1.84595001,52.68154144,3689687.03168748,9529.68742081194
4949,E05010665,Little Aston & Stonnall, ,408615,301126,-1.87421,52.60786057,15002182.8159436,22783.9396855586
4950,E05010666,Longdon, ,408627,312863,-1.87372994,52.71337128,29824289.2908547,29810.7482458015
4951,E05010667,Mease Valley, ,423989,310506,-1.64649999,52.69171906,42060677.021128,36246.4158016553
4952,E05010668,St John's, ,411648,308054,-1.82916999,52.67008972,4155308.87006421,10645.3455283625
4953,E05010669,Shenstone, ,410029,303983,-1.85324001,52.63351822,10560117.7657657,19559.4545849918
4954,E05010670,Stowe, ,412488,310213,-1.81666994,52.68947983,2130033.31436585,7633.31043489165
4955,E05010671,Summerfield & All Saints, ,405823,308812,-1.91530001,52.67699051,1193751.12135332,6626.21201194006
4956,E05010672,Whittington & Streethay, ,417437,307380,-1.74360001,52.66387177,44301533.307343,39949.1272406952
4957,E05010673,Abbey Hill, ,451953,356320,-1.22549999,53.10157013,2906444.67432469,8909.35867286167
4958,E05010674,Annesley & Kirkby Woodhouse, ,449623,352355,-1.26090002,53.06615067,16303875.1872831,18694.6387344139
4959,E05010675,Ashfields, ,447989,358118,-1.28443003,53.11809921,1763640.38066357,7055.11157174331
4960,E05010676,Carsic, ,448551,359706,-1.27578998,53.13233185,1134969.49331729,6522.51636010558
4961,E05010677,Central & New Cross, ,450184,359114,-1.25147998,53.12685013,2039522.6886103,8045.56936259126
4962,E05010678,Hucknall Central, ,453329,348900,-1.20616996,53.03474045,1504801.48845148,6683.32537837638
4963,E05010679,Hucknall North, ,454355,349430,-1.19079006,53.03939819,3768501.283614,10711.1994447526
4964,E05010680,Hucknall South, ,453716,348086,-1.20053995,53.02738953,2572416.85345175,10688.9312720391
