objectid,wd19cd,wd19nm,wd19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1147,E05001653,Layton, ,332388,437434,-3.02871,53.828758,1313583.32627574,5346.40085613165
1148,E05001654,Marton, ,333481,435093,-3.0116,53.807869,4300902.59650923,12058.1198016871
1149,E05001655,Norbreck, ,331919,441252,-3.03668,53.86301,2368480.16484751,7815.48806073021
1150,E05001656,Park, ,333487,436737,-3.01187,53.822639,2367178.26549617,10786.4381907558
1151,E05001657,Squires Gate, ,330934,432256,-3.04964,53.78204,2202199.32183255,7140.78286471978
1152,E05001658,Stanley, ,333237,432439,-3.01473,53.783981,3968358.08433081,10097.079625239
1153,E05001659,Talbot, ,331158,436125,-3.0471,53.816841,1882998.38992016,7171.0731730243
1154,E05001660,Tyldesley, ,331881,435230,-3.03593,53.808891,916169.545126745,5051.33257892993
1155,E05001661,Victoria, ,331622,434234,-3.03964,53.7999,1026497.34927529,5149.07067871109
1156,E05001662,Warbreck, ,331075,438228,-3.04884,53.83572,1930940.73667507,7852.16720777632
1157,E05001663,Waterloo, ,331029,433497,-3.04847,53.793201,3015878.05324257,7498.80877237417
1158,E05001687,Beverley Rural, ,497676,442696,-0.51595,53.8713,216712688.675494,100336.59420256
1159,E05001688,Bridlington Central and Old Town, ,515801,470111,-0.23001,54.113861,50058090.871539,44581.4127805944
1160,E05001689,Bridlington North, ,523055,470106,-0.11911,54.112129,23121419.3299035,33226.0578225586
1161,E05001690,Bridlington South, ,516566,466204,-0.21982,54.07859,8736960.71006409,14061.5661858958
1162,E05001691,Cottingham North, ,504715,434041,-0.41188,53.792171,9954811.60404518,20779.0770359475
1163,E05001692,Cottingham South, ,504330,432137,-0.41837,53.775139,4866995.5820696,13818.1836592612
1164,E05001693,Dale, ,495978,431031,-0.5454,53.766811,95587768.050464,62615.6916459763
1165,E05001694,Driffield and Rural, ,496495,458595,-0.52889,54.01437,139638564.17614,77170.8880245728
1166,E05001695,East Wolds and Coastal, ,508004,461490,-0.3523,54.038101,384138592.883452,124058.51756884
1167,E05001696,Goole North, ,475188,425184,-0.86214,53.717682,5082605.80900848,11940.640447649
1168,E05001697,Goole South, ,473868,423532,-0.88253,53.703018,6212816.24327616,16325.5418526455
1169,E05001698,Hessle, ,502860,426490,-0.44254,53.724701,7051450.98842103,12656.555157485
1170,E05001699,Howden, ,470085,428595,-0.93868,53.749039,22948740.7055834,29109.2302227943
1171,E05001700,Howdenshire, ,480973,432100,-0.7727,53.778961,268425733.262058,108951.521116863
1172,E05001701,Mid Holderness, ,519558,436299,-0.18581,53.809261,218935175.404642,91019.2081537147
1173,E05001702,Minster and Woodmansey, ,505141,438406,-0.40393,53.831299,21020603.2067218,25662.9666814226
1174,E05001703,North Holderness, ,517267,447286,-0.21639,53.908489,67544261.3811717,48837.4443800423
1175,E05001704,Pocklington Provincial, ,473330,450437,-0.88428,53.94487,65486000.133854,58993.2114456638
